method,rep,elapsed_secs,best_score
sa,2,900,-1190000000000
sa,2,930,-1190000000000
sa,2,960,-1190000000000
sa,2,990,-1190000000000
sa,2,1020,-1190000000000
sa,2,1050,-1190000000000
sa,2,1080,-1190000000000
sa,2,1110,-1190000000000
sa,2,1140,-1190000000000
sa,2,1170,-1140000000000
sa,2,1200,-1140000000000
sa,2,1230,-1140000000000
sa,2,1260,-1140000000000
sa,2,1290,-1140000000000
sa,2,1320,-1140000000000
sa,2,1350,-1140000000000
sa,2,1380,-1140000000000
sa,2,1410,-1140000000000
sa,2,1440,-1140000000000
sa,2,1470,-1140000000000
sa,2,1500,-1140000000000
sa,2,1530,-1140000000000
sa,2,1560,-1140000000000
sa,2,1590,-1140000000000
sa,2,1620,-1140000000000
sa,2,1650,-1140000000000
sa,2,1680,-1140000000000
sa,2,1710,-1140000000000
sa,2,1740,-1140000000000
sa,2,1770,-1140000000000
sa,2,1800,-1140000000000
sa,2,1830,-1140000000000
sa,2,1860,-1140000000000
sa,2,1890,-1140000000000
sa,2,1920,-1140000000000
sa,2,1950,-1140000000000
sa,2,1980,-1140000000000
sa,2,2010,-1140000000000
sa,2,2040,-1140000000000
sa,2,2070,-1140000000000
sa,2,2100,-1140000000000
sa,2,2130,-1140000000000
sa,2,2160,-1140000000000
sa,2,2190,-1140000000000
sa,2,2220,-1140000000000
sa,2,2250,-1140000000000
sa,2,2280,-1140000000000
sa,2,2310,-1140000000000
sa,2,2340,-1140000000000
sa,2,2370,-1140000000000
sa,2,2400,-1140000000000
sa,2,2400,-1140000000000
da,2,30,-1180000000000
da,2,60,-1150000000000
da,2,90,-1150000000000
da,2,120,-1150000000000
da,2,150,-1150000000000
da,2,180,-1150000000000
da,2,210,-1150000000000
da,2,240,-1130000000000
da,2,270,-1130000000000
da,2,300,-1130000000000
da,2,330,-1130000000000
da,2,360,-1130000000000
da,2,390,-1130000000000
da,2,420,-1130000000000
da,2,450,-1130000000000
da,2,480,-1130000000000
da,2,510,-1130000000000
da,2,540,-1130000000000
da,2,570,-1130000000000
da,2,600,-1130000000000
da,2,630,-1130000000000
da,2,660,-1130000000000
da,2,690,-1130000000000
da,2,720,-1130000000000
da,2,750,-1130000000000
da,2,780,-1080000000000
da,2,810,-1080000000000
da,2,840,-1080000000000
da,2,870,-1080000000000
da,2,900,-1080000000000
da,2,930,-1080000000000
da,2,960,-1080000000000
da,2,990,-1080000000000
da,2,1020,-1080000000000
da,2,1050,-1080000000000
da,2,1080,-1080000000000
da,2,1110,-1080000000000
da,2,1140,-1080000000000
da,2,1170,-1080000000000
da,2,1200,-1080000000000
da,2,1230,-1080000000000
da,2,1260,-1080000000000
da,2,1290,-1080000000000
da,2,1320,-1080000000000
da,2,1350,-1080000000000
da,2,1380,-1080000000000
da,2,1410,-1080000000000
da,2,1440,-1080000000000
da,2,1470,-1080000000000
da,2,1500,-1080000000000
da,2,1530,-1080000000000
da,2,1560,-1080000000000
da,2,1590,-1080000000000
da,2,1620,-1080000000000
da,2,1650,-1080000000000
da,2,1680,-1080000000000
da,2,1710,-1080000000000
da,2,1740,-1080000000000
da,2,1770,-1080000000000
da,2,1800,-1080000000000
da,2,1830,-1080000000000
da,2,1860,-1080000000000
da,2,1890,-1080000000000
da,2,1920,-1080000000000
da,2,1950,-1080000000000
da,2,1980,-1080000000000
da,2,2010,-1080000000000
da,2,2040,-1080000000000
da,2,2070,-1080000000000
da,2,2100,-1080000000000
da,2,2130,-1080000000000
da,2,2160,-1080000000000
da,2,2190,-1080000000000
da,2,2220,-1080000000000
da,2,2250,-1080000000000
da,2,2280,-1080000000000
da,2,2310,-1080000000000
da,2,2340,-1080000000000
da,2,2370,-1080000000000
da,2,2400,-1080000000000
mcts,2,30,-2480000000000
mcts,2,60,-2480000000000
mcts,2,90,-2480000000000
mcts,2,120,-2480000000000
mcts,2,150,-2480000000000
mcts,2,180,-2480000000000
mcts,2,210,-2480000000000
mcts,2,240,-2480000000000
mcts,2,270,-2480000000000
mcts,2,300,-2480000000000
mcts,2,330,-2480000000000
mcts,2,360,-2480000000000
mcts,2,390,-2480000000000
mcts,2,420,-2480000000000
mcts,2,450,-2480000000000
mcts,2,480,-2480000000000
mcts,2,510,-2480000000000
mcts,2,540,-2480000000000
mcts,2,570,-2480000000000
mcts,2,600,-2480000000000
mcts,2,630,-2480000000000
mcts,2,660,-2480000000000
mcts,2,690,-2480000000000
mcts,2,720,-2480000000000
mcts,2,750,-2480000000000
mcts,2,780,-2480000000000
mcts,2,810,-2480000000000
mcts,2,840,-2480000000000
mcts,2,870,-2480000000000
mcts,2,900,-2480000000000
mcts,2,930,-2480000000000
mcts,2,960,-2480000000000
mcts,2,990,-2480000000000
mcts,2,1020,-2480000000000
mcts,2,1050,-2480000000000
mcts,2,1080,-2480000000000
mcts,2,1110,-2480000000000
mcts,2,1140,-2480000000000
mcts,2,1170,-2480000000000
mcts,2,1200,-2480000000000
mcts,2,1230,-2480000000000
mcts,2,1260,-2480000000000
mcts,2,1290,-2480000000000
mcts,2,1320,-2480000000000
mcts,2,1350,-2480000000000
mcts,2,1380,-2480000000000
mcts,2,1410,-2480000000000
mcts,2,1440,-2480000000000
mcts,2,1470,-2480000000000
mcts,2,1500,-2480000000000
mcts,2,1530,-2480000000000
mcts,2,1560,-2480000000000
mcts,2,1590,-2480000000000
mcts,2,1620,-2480000000000
mcts,2,1650,-2480000000000
mcts,2,1680,-2480000000000
mcts,2,1710,-2480000000000
mcts,2,1740,-2480000000000
mcts,2,1770,-2480000000000
mcts,2,1800,-2480000000000
mcts,2,1830,-2480000000000
mcts,2,1860,-2480000000000
mcts,2,1890,-2480000000000
mcts,2,1920,-2480000000000
mcts,2,1950,-2480000000000
mcts,2,1980,-2480000000000
mcts,2,2010,-2480000000000
mcts,2,2040,-2480000000000
mcts,2,2070,-2480000000000
mcts,2,2100,-2480000000000
mcts,2,2130,-2480000000000
mcts,2,2160,-2480000000000
mcts,2,2190,-2480000000000
mcts,2,2220,-2480000000000
mcts,2,2250,-2480000000000
mcts,2,2280,-2480000000000
mcts,2,2310,-2480000000000
mcts,2,2340,-2480000000000
mcts,2,2370,-2480000000000
mcts,2,2400,-2480000000000
gen,3,30,-1080000000000
gen,3,60,-1080000000000
gen,3,90,-1080000000000
gen,3,120,-1080000000000
gen,3,150,-1080000000000
gen,3,180,-1080000000000
gen,3,210,-1080000000000
gen,3,240,-1050000000000
gen,3,270,-1050000000000
gen,3,300,-1050000000000
gen,3,330,-1050000000000
gen,3,360,-1050000000000
gen,3,390,-1050000000000
gen,3,420,-1050000000000
gen,3,450,-1050000000000
gen,3,480,-1050000000000
gen,3,510,-1050000000000
gen,3,540,-1050000000000
gen,3,570,-1050000000000
gen,3,600,-1050000000000
gen,3,630,-1050000000000
gen,3,660,-1050000000000
gen,3,690,-1050000000000
gen,3,720,-1050000000000
gen,3,750,-1050000000000
gen,3,780,-1050000000000
gen,3,810,-1050000000000
gen,3,840,-1050000000000
gen,3,870,-1050000000000
gen,3,900,-1050000000000
gen,3,930,-1050000000000
gen,3,960,-1050000000000
gen,3,990,-1050000000000
gen,3,1020,-1050000000000
gen,3,1050,-1050000000000
gen,3,1080,-1050000000000
gen,3,1110,-1050000000000
gen,3,1140,-1050000000000
gen,3,1170,-1050000000000
gen,3,1200,-1050000000000
gen,3,1230,-1050000000000
gen,3,1260,-1050000000000
gen,3,1290,-1050000000000
gen,3,1320,-1050000000000
gen,3,1350,-1050000000000
gen,3,1380,-1050000000000
gen,3,1410,-1050000000000
gen,3,1440,-1050000000000
gen,3,1470,-1050000000000
gen,3,1500,-1050000000000
